event,split,step,wallclock_seconds,loss,ppl,lr,tokens_seen,step_time_seconds,eval_time_seconds,checkpoint_path,message
metric,train,800,2083.4952078329807,2.3841586112976074,10.84992981495286,0.0002447314403878675,13107200,2.9832531670108438,,,
metric,val,800,2100.991620707995,2.3356760263442995,10.336445277277745,,13107200,,17.4832426669891,,
checkpoint,,800,2101.690973290999,,,,,,,artifacts/tinystories_10k_4l_512d.pt,
metric,train,820,2154.4550405000045,2.3532016277313232,10.519194413683033,0.0002417804284732737,13434880,2.5592100829817355,,,
metric,train,840,2206.3385934160033,2.341787815093994,10.399812894728454,0.00023877415661504797,13762560,2.537636791996192,,,
metric,train,860,2257.810348250001,2.306065082550049,10.03486051749742,0.00023571478846891246,14090240,2.4905076249851845,,,
metric,train,880,2308.855337749992,2.3060741424560547,10.034951432802332,0.00023260452590472734,14417920,2.5534559169900604,,,
metric,train,900,2360.36757045798,2.250014305114746,9.487871560479118,0.0002294456074217742,14745600,2.5399265000014566,,,
metric,val,900,2377.8511112080014,2.268677806854248,9.666611233672484,,14745600,,17.470597542007454,,
metric,train,920,2429.688832124986,2.2612829208374023,9.59539140125225,0.00022624030653767705,15073280,2.6164474170072936,,,
metric,train,940,2482.0645955409855,2.191575765609741,8.949304015303206,0.00022299093015211972,15400960,2.526237958983984,,,
metric,train,960,2534.1790389999805,2.2677977085113525,9.658107407794747,0.0002196998168865385,15728640,2.778552917006891,,,
metric,train,980,2585.54122837499,2.2700672149658203,9.680051436533258,0.0002163693354009832,16056320,2.5119642920035403,,,
metric,train,1000,2636.4804341249983,2.223940372467041,9.243682751871559,0.00021300188268936004,16384000,2.543763709021732,,,
metric,val,1000,2653.844875540992,2.222967505455017,9.23469425086965,,16384000,,17.352913165988866,,
checkpoint,,1000,2654.3720911249984,,,,,,,artifacts/tinystories_10k_4l_512d.pt,
metric,train,1020,2706.7199875829974,2.257093906402588,9.555280239936927,0.00020959988235428134,16711680,2.600791583012324,,,
metric,train,1040,2759.5319419159787,2.173145294189453,8.785874788406932,0.0002061657828627653,17039360,2.744500875007361,,,
metric,train,1060,2806.130896040995,2.138397216796875,8.4858257843504,0.00020270205578403982,17367040,2.085908750013914,,,
metric,train,1080,2851.5300639999914,2.2081809043884277,9.099149106660942,0.00019921119401072011,17694720,2.4547233330085874,,,
metric,train,1100,2899.866818499984,2.214862823486328,9.160152467639543,0.00019569570996463885,18022400,2.485014208010398,,,
metric,val,1100,2916.918868457986,2.179008054733276,8.837535557846328,,18022400,,17.0396671659837,,
metric,train,1120,2968.5061589999823,2.1798977851867676,8.845402081389796,0.00019215813378862127,18350080,2.5203410829999484,,,
metric,train,1140,3019.6666017909884,2.2387707233428955,9.381791378881973,0.0001886010115255064,18677760,2.5550093749770895,,,
metric,train,1160,3071.3758740829944,2.179673433303833,8.843417821372082,0.00018502690328572413,19005440,2.56338441601838,,,
metric,train,1180,3124.607571957982,2.106877326965332,8.222524896815996,0.00018143838140474838,19333120,2.8345995410054456,,,
metric,train,1200,3177.5003454999824,2.1657416820526123,8.721067778198886,0.0001778380285917514,19660800,2.660678790998645,,,
metric,val,1200,3195.642405749997,2.169174838066101,8.751060019047893,,19660800,,18.128989791992353,,
checkpoint,,1200,3196.3105899579823,,,,,,,artifacts/tinystories_10k_4l_512d.pt,
metric,train,1220,3252.5246555829945,2.1650195121765137,8.714771959361034,0.00017422843607079198,19988480,2.933948000019882,,,
metric,train,1240,3312.9040902499983,2.165238618850708,8.71668163326492,0.00017061220171587528,20316160,2.9568181660142727,,,
metric,train,1260,3371.644676124997,2.1977906227111816,9.005095850479895,0.00016699192818122704,20643840,2.9198255840165075,,,
metric,train,1280,3429.851783374994,2.1003577709198,8.169092053385846,0.00016337022102812674,20971520,3.1041339590155985,,,
metric,train,1300,3488.4679852499976,2.1623735427856445,8.691743419349681,0.00015974968684964914,21299200,2.880085125012556,,,
metric,val,1300,3508.3343909159885,2.1236609697341917,8.361693427940073,,21299200,,19.85378387500532,,
metric,train,1320,3567.8218934579927,2.140216588973999,8.501278712733766,0.00015613293139466277,21626880,2.9476179589983076,,,
metric,train,1340,3627.0324728330015,2.0666418075561523,7.8982546726809035,0.00015252255769243633,21954560,3.0035528340085875,,,
metric,train,1360,3687.557746665989,2.0623199939727783,7.8641935442915685,0.00014892116417920196,22282240,3.0873517080035526,,,
metric,train,1380,3749.70302812499,2.114835262298584,8.28822027129175,0.00014533134282802498,22609920,3.035372542013647,,,
metric,train,1400,3810.3143676659965,2.1041016578674316,8.199733533826858,0.00014175567728332442,22937600,3.04009891700116,,,
metric,val,1400,3831.179147124989,2.11057630777359,8.252996180207477,,22937600,,20.851113334007096,,
checkpoint,,1400,3831.837205040996,,,,,,,artifacts/tinystories_10k_4l_512d.pt,
metric,train,1420,3896.7869823329966,2.0548362731933594,7.805559788632213,0.00013819674100138817,23265280,3.3041926660225727,,,
metric,train,1440,3962.9966357079975,2.0955934524536133,8.1302644642087,0.00013465709539822084,23592960,3.3082518340088427,,,
metric,train,1460,4029.291158332984,2.107675075531006,8.229087021373362,0.0001311392880060569,23920640,3.134734249993926,,,
metric,train,1480,4091.779081457993,2.1511192321777344,8.594472225986998,0.00012764585063986615,24248320,3.0506249589961953,,,
metric,train,1500,4155.032671166002,2.0391640663146973,7.684183045882243,0.00012417929757517135,24576000,3.213363875023788,,,
metric,val,1500,4177.095706791006,2.0784522354602815,7.9920894638600535,,24576000,,22.049242458015215,,
metric,train,1520,4245.216452583001,2.031618595123291,7.6264204610947495,0.0001207421237384891,24903680,3.3251734580262564,,,
metric,train,1540,4310.885031499987,2.0691375732421875,7.917991484656792,0.00011733680291169646,25231360,2.5194442910142243,,,
metric,train,1560,4364.151471749996,2.088620662689209,8.073771026693633,0.00011396578595161558,25559040,2.1398829579993617,,,
metric,train,1580,4416.407218874985,2.088193655014038,8.070324200460663,0.00011063149902609825,25886720,3.3723328330088407,,,
metric,train,1600,4484.7641939999885,2.037855386734009,7.674133489694587,0.00010733634186787856,26214400,3.268725458998233,,,
metric,val,1600,4502.696667040989,2.0588227033615114,7.836738211666379,,26214400,,17.912060249975184,,
checkpoint,,1600,4503.612666040979,,,,,,,artifacts/tinystories_10k_4l_512d.pt,
metric,train,1620,4558.722876249987,2.0008392333984375,7.395259844422893,0.00010408268604745242,26542080,2.6364733339869417,,,
metric,train,1640,4621.371069916,2.054203510284424,7.800622282214693,0.00010087287326622476,26869760,2.5716672920098063,,,
metric,train,1660,4673.051553290978,2.0529165267944336,7.790589467544054,9.770921367115488e-05,27197440,2.478347832977306,,,
metric,train,1680,4720.952177999978,2.025662899017334,7.581134806109704,9.459398419211101e-05,27525120,2.349144415988121,,,
metric,train,1700,4768.997680957982,2.009384870529175,7.458727852580188,9.152942690313251e-05,27852800,2.4400732920039445,,,
metric,val,1700,4785.856180915987,2.028710055351257,7.604270940860347,,27852800,,16.843492624990176,,
metric,train,1720,4836.047541040985,1.9754786491394043,7.210069921783806,8.851774740877801e-05,28180480,2.4426270839758217,,,
metric,train,1740,4885.607294207992,2.0447616577148438,7.727316572119508,8.556111325672082e-05,28508160,2.48703616700368,,,
metric,train,1760,4936.142329708004,1.9445003271102905,6.9901381997095156,8.266165237773479e-05,28835840,2.448343791998923,,,
metric,train,1780,4987.361447832984,2.0419399738311768,7.705543260631434,7.982145155419305e-05,29163520,2.5127667500055395,,,
metric,train,1800,5042.105713583005,2.093905448913574,8.116552125505741,7.704255491818165e-05,29491200,3.0594806249719113,,,
metric,val,1800,5060.005366333004,2.0083696067333223,7.4511591190090645,,29491200,,17.882826250017388,,
checkpoint,,1800,5060.857452291006,,,,,,,artifacts/tinystories_10k_4l_512d.pt,
metric,train,1820,5114.23209854099,2.044135570526123,7.722480112391237,7.432696248030877e-05,29818880,2.948735999991186,,,
metric,train,1840,5174.876526499982,1.9872806072235107,7.295666977678553,7.167662869026999e-05,30146560,2.7553942920058034,,,
metric,train,1860,5231.584628749988,2.0275282859802246,7.595289754264267,6.909346103020309e-05,30474240,3.304648332996294,,,
metric,train,1880,5286.314321915997,2.0955810546875,8.13016366771626,6.65793186418467e-05,30801920,2.4462247920164373,,,
metric,train,1900,5341.522315665992,1.9570825099945068,7.078645033878103,6.413601098849014e-05,31129600,2.597995207994245,,,
metric,val,1900,5358.9892978749995,1.9967926084995269,7.365394469541554,,31129600,,17.443559584004106,,
metric,train,1920,5417.5556706659845,2.000990867614746,7.396381303877464,6.176529655267761e-05,31457280,2.7163334999931976,,,
metric,train,1940,5470.481331082992,1.9693889617919922,7.166296269411821,5.946888157060355e-05,31784960,2.842472624994116,,,
metric,train,1960,5522.424132790999,1.954018473625183,7.056989002425569,5.724841880411095e-05,32112640,2.510406666988274,,,
metric,train,1980,5574.592371040984,1.9886667728424072,7.30578699279801,5.510550635117547e-05,32440320,2.5678133749752305,,,
metric,train,2000,5628.541863916005,2.015129566192627,7.501699284853245,5.304168649573204e-05,32768000,2.820030290982686,,,
metric,val,2000,5646.306942208001,1.9798900961875916,7.241947023835042,,32768000,,17.744562625011895,,
checkpoint,,2000,5647.187859500002,,,,,,,artifacts/tinystories_10k_4l_512d.pt,
metric,train,2020,5701.716049082985,2.035189151763916,7.653699699367365,5.105844459767191e-05,33095680,3.2680526670010295,,,
metric,train,2040,5765.9472376249905,1.9365146160125732,6.934539269479592,4.9157208023808076e-05,33423360,2.9448759160004556,,,
metric,train,2060,5819.978248875006,1.9850125312805176,7.2791386018096285,4.7339345120579754e-05,33751040,2.6682422919839155,,,
metric,train,2080,5873.736093707994,1.9635826349258423,7.124806977608906,4.5606164229234334e-05,34078720,2.535833667003317,,,
metric,train,2100,5926.795292374998,1.9190436601638794,6.814438433168109,4.395891274419601e-05,34406400,2.6994482919981238,,,
metric,val,2100,5944.519697082986,1.9712754845619203,7.1798284108332036,,34406400,,17.710858874983387,,
metric,train,2120,6000.754445790983,1.9600450992584229,7.099647246762495,4.2398776215298413e-05,34734080,3.068746832985198,,,
metric,train,2140,6058.068472374987,1.9441802501678467,6.9879011756762965,4.092687749452822e-05,35061760,3.2238287920190487,,,
metric,train,2160,6120.488933790999,1.8918015956878662,6.631304855967394,3.954427592789276e-05,35389440,3.2122140419960488,,,
metric,train,2180,6268.203543582989,2.0251336097717285,7.5771232547165015,3.825196659299391e-05,35717120,9.033460833015852,,,
metric,train,2200,6366.985651124996,1.9260491132736206,6.862344267197653,3.7050879582856914e-05,36044800,2.0727075840113685,,,
metric,val,2200,6398.752906249982,1.9783482432365418,7.230789610200951,,36044800,,31.74995850000414,,
checkpoint,,2200,6401.932433707989,,,,,,,artifacts/tinystories_10k_4l_512d.pt,
metric,train,2220,6569.81015824998,1.937356948852539,6.940382920440345,3.594187933652962e-05,36372480,5.489900291984668,,,
metric,train,2240,6647.064783999987,1.911037802696228,6.760100810207233,3.492576401693343e-05,36700160,2.0921046670118812,,,
metric,train,2260,6767.257352665998,1.935248613357544,6.925765679219141,3.4003264936414495e-05,37027840,8.775578958011465,,,
metric,train,2280,6872.924670749984,1.9166537523269653,6.798171998734438,3.317504603040799e-05,37355520,2.244125208002515,,,
metric,train,2300,6938.18508687499,1.893782377243042,6.644453039854002,3.244170337959448e-05,37683200,8.928651666006772,,,
metric,val,2300,6968.69887545798,1.9591358661651612,7.09319494630232,,37683200,,30.47977804200491,,
metric,train,2320,7082.41562312498,1.8735315799713135,6.511250845772683,3.1803764780892464e-05,38010880,8.777624541980913,,,
metric,train,2340,7223.021012707992,1.939753532409668,6.957036075395549,3.126168936759548e-05,38338560,2.5037385420000646,,,
