event,split,step,wallclock_seconds,loss,ppl,lr,tokens_seen,step_time_seconds,eval_time_seconds,checkpoint_path,message
metric,train,1,0.03166129099554382,6.12899923324585,458.9766022384315,2.9999999999999997e-06,32,0.03165987500688061,,,
metric,val,1,0.03388787500443868,5.976917266845703,394.2232080756439,,32,,0.0018970000091940165,,
metric,train,2,0.04107704100897536,6.180001258850098,482.9925643676398,5.999999999999999e-06,64,0.007032541005173698,,,
metric,val,2,0.04347299999790266,6.1822829246521,484.0958501704797,,64,,0.0021712500019930303,,
metric,train,3,0.051588375004939735,6.45638370513916,636.7541970111132,9e-06,96,0.00783062499249354,,,
metric,val,3,0.05371999999624677,5.869994640350342,354.2470816224274,,96,,0.0018959589942824095,,
checkpoint,,3,0.08770887501304969,,,,,,,artifacts/experiments/tracking-smoke/checkpoint.pt,
